theta,log_moneyness,total_variance,implied_vol
0.014810126582278482,0.7373737373737375,0.011353663520945939,0.15068950541392018
0.014810126582278482,0.7575757575757578,0.011270755469046568,0.15013830603178235
0.014810126582278482,0.7777777777777779,0.011188629672936079,0.14959030498622616
0.014810126582278482,0.7979797979797982,0.011107298490559409,0.14904562046943484
0.014810126582278482,0.8181818181818183,0.01102677420693707,0.14850437169953665
0.014810126582278482,0.8383838383838385,0.010947069014999844,0.14796667878275732
0.014810126582278482,0.8585858585858588,0.010868194995766042,0.14743266256678703
0.014810126582278482,0.8787878787878789,0.0107901640979056,0.14690244448548567
0.014810126582278482,0.8989898989898992,0.010712988116741966,0.1463761463951143
0.014810126582278482,0.9191919191919193,0.010636678672749535,0.14585389040234434
0.014810126582278482,0.9393939393939394,0.010561247189610986,0.14533579868436397
0.014810126582278482,0.9595959595959598,0.010486704871905662,0.14482199330147105
0.014810126582278482,0.9797979797979799,0.01041306268250654,0.14431259600261193
0.014810126582278482,1.0,0.010340331319769745,0.14380772802439892
0.017215189873417722,-1.0,0.023563768356547377,0.2170887761103617
0.017215189873417722,-0.9797979797979798,0.02342990759866323,0.21647128030601764
0.017215189873417722,-0.9595959595959596,0.023296212346114526,0.2158527847682977
0.017215189873417722,-0.9393939393939394,0.023162685703958255,0.21523329530515606
0.017215189873417722,-0.9191919191919192,0.023029330848020148,0.21461281810749397
0.017215189873417722,-0.898989898989899,0.022896151026664608,0.21399135976326059
0.017215189873417722,-0.8787878787878788,0.02276314956260695,0.21336892727202314
0.017215189873417722,-0.8585858585858586,0.022630329854768486,0.2127455280600205
0.017215189873417722,-0.8383838383838383,0.02249769538017504,0.2121211699957128
0.017215189873417722,-0.8181818181818181,0.022365249695899404,0.21149586140584126
0.017215189873417722,-0.797979797979798,0.02223299644104819,0.21086961109201197
0.017215189873417722,-0.7777777777777778,0.02210093933879351,0.21024242834781715
0.017215189873417722,-0.7575757575757576,0.02196908219844978,0.2096143229765074
0.017215189873417722,-0.7373737373737373,0.021837428917596033,0.20898530530922999
0.017215189873417722,-0.7171717171717171,0.021705983484243897,0.20835538622384542
0.017215189873417722,-0.696969696969697,0.021574749979051393,0.20772457716433745
0.017215189873417722,-0.6767676767676767,0.021443732577582586,0.20709289016082896
0.017215189873417722,-0.6565656565656566,0.02131293555261311,0.20646033785021814
0.017215189873417722,-0.6363636363636364,0.021182363276481337,0.2058269334974475
0.017215189873417722,-0.6161616161616161,0.021052020223484985,0.20519269101741897
0.017215189873417722,-0.5959595959595959,0.020921910972322724,0.2045576249975675
0.017215189873417722,-0.5757575757575757,0.02079204020858025,0.20392175072110505
0.017215189873417722,-0.5555555555555556,0.020662412727260184,0.2032850841909469
0.017215189873417722,-0.5353535353535352,0.020533033435354855,0.20264764215433081
0.017215189873417722,-0.5151515151515151,0.020403907354461036,0.20200944212813932
0.017215189873417722,-0.4949494949494949,0.020275039623435256,0.2013705024249344
0.017215189873417722,-0.4747474747474747,0.020146435501088404,0.2007308421797129
0.017215189873417722,-0.4545454545454545,0.02001810036891781,0.2000904813773899
0.017215189873417722,-0.43434343434343425,0.019890039733874928,0.1994494408810159
0.017215189873417722,-0.41414141414141414,0.019762259231166455,0.19880774246073243
0.017215189873417722,-0.3939393939393939,0.019634764627086302,0.198165408823469
0.017215189873417722,-0.3737373737373737,0.01950756182187577,0.19752246364338294
0.017215189873417722,-0.3535353535353535,0.019380656852608605,0.19687893159304073
0.017215189873417722,-0.33333333333333326,0.019254055896097647,0.19623483837533867
0.017215189873417722,-0.31313131313131304,0.019127765271819017,0.19559021075615732
0.017215189873417722,-0.2929292929292928,0.019001791444849675,0.19494507659774163
0.017215189873417722,-0.2727272727272727,0.018876141028813596,0.19429946489279684
0.017215189873417722,-0.2525252525252525,0.01875082078883136,0.19365340579928544
0.017215189873417722,-0.23232323232323226,0.018625837644467482,0.19300693067590854
0.017215189873417722,-0.21212121212121204,0.01850119867266933,0.19236007211825082
0.017215189873417722,-0.19191919191919182,0.018376911110690713,0.1917128639955635
